Model,Accuracy,Params
LSTM (Baseline),97.24444444444444,
LSNN (Structured),97.06666666666666,"d=24, Gain=1.0 | LR: 0.005"
LSNN (Structured),93.84444444444445,"d=12, Gain=1.0 | LR: 0.005"
LSNN (Structured),92.22222222222223,"d=24, Gain=4.0 | LR: 0.005"
LSNN (Structured),90.95555555555555,"d=12, Gain=4.0 | LR: 0.005"
LSNN (Structured),90.17777777777778,"d=24, Gain=1.0 | LR: 0.001"
LSM (Random)-s-10.0-b-0.9-lr-0.005,89.95555555555555,"Scale=10.0, Beta=0.9 | LR: 0.005"
LSNN (Structured),89.75555555555556,"d=6, Gain=1.0 | LR: 0.005"
LSNN (Structured),89.44444444444444,"d=6, Gain=4.0 | LR: 0.005"
LSM (Random)-s-10.0-b-0.95-lr-0.005,89.33333333333333,"Scale=10.0, Beta=0.95 | LR: 0.005"
LSNN (Structured),89.15555555555555,"d=12, Gain=1.0 | LR: 0.001"
LSM (Random)-s-50.0-b-0.9-lr-0.005,87.4888888888889,"Scale=50.0, Beta=0.9 | LR: 0.005"
LSNN (Structured),87.44444444444444,"d=12, Gain=4.0 | LR: 0.001"
LSM (Random)-s-50.0-b-0.9-lr-0.001,87.17777777777778,"Scale=50.0, Beta=0.9 | LR: 0.001"
LSM (Random)-s-50.0-b-0.95-lr-0.005,87.11111111111111,"Scale=50.0, Beta=0.95 | LR: 0.005"
LSM (Random)-s-50.0-b-0.95-lr-0.001,86.86666666666666,"Scale=50.0, Beta=0.95 | LR: 0.001"
LSNN (Structured),86.57777777777778,"d=24, Gain=4.0 | LR: 0.001"
LSM (Random)-s-10.0-b-0.95-lr-0.001,85.8,"Scale=10.0, Beta=0.95 | LR: 0.001"
LSNN (Structured),81.28888888888889,"d=6, Gain=4.0 | LR: 0.001"
LSNN (Structured),74.91111111111111,"d=6, Gain=1.0 | LR: 0.001"
LSM (Random)-s-10.0-b-0.9-lr-0.001,61.2,"Scale=10.0, Beta=0.9 | LR: 0.001"
